tweet,label
batin komen lawak pasti suruh ma atas kalo ga dsuruh pak anies ga bakal halang masih gubernur broo minimal tolol itu jangan tunjuk kalo mau pemb,1.0
contoh buzzer goblok kasih bukti data fakta visi misi anies muhaimin cantum janji bbm gratis jadi buzzer kok tukang nyebar fitnah n hoax,1.0
pak anies asal beda perintah entah benar salah jalan yg ambil ug penting beda perintah,1.0
pak munafik anies ngakunya resah soal orang orang cuma tunjuk hidung orang tapi lupa tunjuk hidung sendiri jabat gubernur dki jakarta beberapa orang dekat jadi bagi tgupp tim gubernur cepat bangun,1.0
desak hrs tentang tum coba lihat rekam jejak ganjar jd gubernur banyak musuh sm kader sendiri sy tdk pihak cm sy sini cari jejak paslon jd hrs laku spy,1.0
kirain sungguh bantuin paslon no tuh klian ber bukan prioritas,1.0
gak salah pak jokowi angkat prabowo menteri tahan yg salah pak ganjar pelihara buzzer goblok pecah belah bangsa macam lu,1.0
alifurrahman bohong anies dunia usaha inggris jadi korban,1.0
mampus kan anies buzzer spt yg expose biadab laknad anjing babi,1.0
anies baswedan dukung kelompok radikal,1.0
pihak sono mah mosting nyata andy ga ngasi jawab pak anieskan tolol,1.0
inget jokowi ga dikatain jelek terus tetep aja harum gitu nanti anies arti kalian aja yg goblok,1.0
bukan cuma orang goblok milih prabowo gaes orang pinter ada walopun alas ga jelas sih wkk kayak anies ganjar jadi gubernur ga becus ngurus daerah lah emang prabowo becus food estate aja mangkrak kalo adu rekam jejak prabowo kalah telak njir,1.0
wah repot pak pajak rakyat naek nih buat penuhin butuh kalian yg extravaganza rakyat hidup susah,1.0
ganjar ga bakal jadi ri,1.0
lah emang malam debat yahajang telanjang kegagaln perintah pdahal md tri trus si imin wakil dprkan tolol semua bicara tega hukum lh menkopulhukam bukan si,1.0
kau bikin janji lg doong bangklo anies jd presiden potong kuping sayaberani gak bang,1.0
pak ganjar suka nonton film porno,1.0
biasa aja kan fitnah,1.0
sekali pgn ngata ngatain goblok tolol emang arief poyuono,1.0
manusia rubah pandang dlm politik kalian aja yg iri takut keluarga jokowi lama dalam ruang demokrasi dan tdk langgar uu semua sah sah aja,1.0
kalau terus terang aja malu jadi cawapres pak ganjar masa calon presiden ngaku ngaku pede suka nonton porno,1.0
keren banget sampe baru bbrp bulan stlh resmi ambrol pagar eh mlh nyalahin tonton gerombol kalian wkwkw,1.0
jgn enak ngmg yg bakal menang ganjar mahfud satu putar jg g ngaruh mkn siang gratis lagi buat anak sekolah pesantren bkn buat umum kritis goblok jangan,1.0
goblok jis pake duit pusat anjeer anies menyalahgunakan uang pulih ekonomi pusat pas covid buat bikin jis apa iya butuh klub bola punya homebase lebih penting masyarakat jakarta,1.0
tanya aja utus ganjar mahfud yg bener yg mana,1.0
kl dukung wowo goblok gabung sama onta gurun eh malah dukung ganjar gabung sama onta gurun nama tolol,1.0
tanya kamu aja udah bodoh cak imin sekarang apa jabat kabinet sama rezim jokowi,1.0
anies baswedan tukang ngibul anies baswedan raja ngibul anies baswedan raja ngibul,1.0
wah klo masalah dulu ingat sekarang kampret amnesia jawab lupa,1.0
iya na bs bsnya mrk blg bahas ganjar terlalu jahat nyerang prabowo yg kata gak daya pdhl ganjar nyerangnya gak personal loh tp scara karir politik ga tau aja gmn cara prabowo ngmg soal anies orasi sampe goblok,1.0
abis ngajak pks keluar koslisi kppeehhh pks nya istiqomah ubah kasi deh lu coba kemarin jgn mau ojok hembusinamp,1.0
malas dukung ganjarntar situs porno muncul,1.0
nyata hrs tunduk bawah otak bawah stadart,1.0
hooy jangan makan gaji buta,1.0
yee nanya barang bukti bang udah jelas bukti langgar nya raden mas masa ga liat,1.0
mana dukung ganjar yg berani bilang hidup porno sama ganjar hidup porno sama ganjar hidup porno sama ganjar,1.0
janji klo prabowo nyapres anies akan maju kompetitor mana bukti munafik,1.0
